,Date,Ticker,Url,headline,source,snippet
0,4 days ago,META,"https://www.nasdaq.com/articles/3-ultra-popular-stocks-billionaires-have-been-busy-selling"" ",3 Ultra-Popular Stocks Billionaires Have Been Busy Selling,Nasdaq,"Randi Zuckerberg, a former director of market development and spokeswoman 
for Facebook and sister to Meta Platforms CEO Mark Zuckerberg, is a..."
1,3 weeks ago,META,"https://abc7news.com/tech-layoff-tracker-bay-area-layoffs-meta-elon-musk/12434385/"" ","Meta, Twitter, Lyft, Netflix: We're tracking mass layoffs at companies 
across the San Francisco Bay Area",ABC7 News,"Facebook parent Meta is laying off 11,000 people, about 13% of its 
workforce, CEO Mark Zuckerberg said in a letter to employees Wednesday. 
SAN..."
2,05-Aug-22,META,"https://inc42.com/buzz/meta-shut-down-facebook-live-shopping-october-1-focus-reels/"" ",Meta To Shut Down Facebook Live Shopping From October 1,Inc42,"“From 1 October 2022, you will no longer be able to host any new or 
scheduled live shopping events on Facebook,” Facebook posted on its..."
3,2 weeks ago,META,"https://www.livehindustan.com/business/story-smile-returning-to-facebook-meta-ceo-zuckerberg-face-adani-ambani-top-gainer-in-wealth-ytd-7360185.html"" ","फेसबुक वाले जुकरबर्ग के चेहरे पर लौट रही मुस्कान, मेटा शेयर चमके तो ऊपर चढ़ 
गए चार पायदान",Hindustan,"साल की शुरुआत में कभी टॉप-10 में अमीरों में शुमार फेसबुक (Facebook) की 
पैरेंट कंपनी Meta..."
4,01-Oct-22,META,"https://inc42.com/buzz/meta-actioned-23-78-mn-content-pieces-across-facebook-instagram-in-august-2022/"" ","Meta Actioned 23.78 Mn Content Pieces Across FB, Insta In August",Inc42,"Meta Actioned 23.78 Mn Content Pieces Across Facebook, Instagram In August 
2022. 01 Oct'22 | By Chetan Thathoo. Meta Actioned 23.78 Mn Content Pieces 
Across..."
5,08-Aug-22,META,"https://www.thehindubusinessline.com/info-tech/meta-testing-a-live-streaming-platform-for-influencers/article65745244.ece"" ",Meta testing a live-streaming platform for influencers,The Hindu Business Line,"This comes after Meta-owned Facebook announced shuttering its live shopping 
feature on October 1, 2022. Super entered the development phase..."
6,2 weeks ago,META,"https://www.nasdaq.com/articles/tyson-foods-tsn-q4-earnings-lag-estimates-sales-increase"" ","Tyson Foods (TSN) Q4 Earnings Lag Estimates, Sales Increase",Nasdaq,"In the 12 months ended Oct 1, 2022, cash provided by operating activities 
... Facebook even rebranded itself as Meta because Mark Zuckerberg..."
7,31-Aug-22,META,"https://www.livemint.com/technology/apps/facebook-is-shutting-down-its-gaming-app-details-11661951404579.html"" ",Facebook is shutting down its gaming app: Details | Mint,Mint,"Meta-owned Facebook has announced that it is shutting down its standalone 
... Facebook Live Shopping feature will end on October 1, 2022."
8,01-Oct-22,META,"https://www.thehindubusinessline.com/info-tech/we-want-to-utilise-metaverse-to-enable-monetisation-opportunities-for-creators-vp-global-business-group-at-meta/article65956113.ece"" ","We want to utilise Metaverse to enable monetisation opportunities for 
creators: VP, Global Business Group at Meta",The Hindu Business Line,"Consequently, Mendelsohn notes that creators can utilise Meta's pivot ... 
Ajit Mohan, MD &amp; VP, Facebook India (Meta) who also attended the..."
9,01-Oct-22,META,"https://www.engadget.com/sheryl-sandberg-meta-will-pay-for-personal-security-170637101.html"" ","Sheryl Sandberg has left Meta, but the company will keep paying for her 
personal security",Engadget,"The board, citing ""continuing threats to her safety,"" agreed to pay for 
security services from October 1st through June 30th, 2023, with..."
0,02-Oct-22,META,"https://seekingalpha.com/article/4544227-meta-its-only-a-meta-of-time"" ",Meta: It's Only A Meta Of Time (NASDAQ:META),Seeking Alpha,"A month after its WhatsApp acquisition, Facebook acquired Oculus — a leader 
in VR technology and headsets — for $2 billion. Zuckerberg believes..."
1,29-Sep-22,META,"https://decrypt.co/110901/facebook-instagram-ethereum-flow-polygon-nfts"" ","Facebook, Instagram Users in US Can Now Share Ethereum, Flow and Polygon 
NFTs",Decrypt,"Facebook, Instagram Users in US Can Now Share Ethereum, Flow and Polygon 
NFTs. Meta is letting all U.S. users connect a crypto wallet and..."
2,02-Oct-22,META,"https://in.investing.com/news/now-everyone-can-share-nfts-on-instagram-or-facebook-3363884"" ",Now everyone can share NFTs on Instagram or Facebook,Investing.com,"New Delhi, Oct 2 (IANS) Meta has announced that everyone can now share 
digital collectibles or non-fungible tokens (NFTs) on Instagram and..."
3,24-Jun-22,META,"https://decrypt.co/103691/meta-facebook-microsoft-tech-giants-open-metaverse-should-we-believe"" ","Meta, Microsoft and Other Tech Giants Say They Want an Open 
Metaverse—Should We Believe Them?",Decrypt,"On Tuesday, 35 technology companies—among them Meta (formerly known as 
Facebook), Microsoft, Alibaba, and Sony—announced their founding..."
4,14-Sep-22,META,"https://www.indiatvnews.com/technology/news/facebook-community-chats-a-new-way-to-connect-with-people-sharing-same-interests-2022-09-14-808101"" ","Facebook Community Chats: A new way to connect with people sharing same 
interests",India TV News,"Meta CEO Mark Zuckerberg said that the company is building Community Chats 
as a new way to connect with people who share interests. ""More than 1..."
5,30-Sep-22,META,"https://www.washingtonpost.com/business/facebooks-age-of-austerity-couldnt-come-at-a-worse-time/2022/09/30/b06c5058-40c9-11ed-8c6e-9386bd7cd826_story.html"" ",Analysis | Facebook's Age of Austerity Couldn't Come at a ...,The Washington Post,"Meta CEO Mark Zuckerberg told staff on Thursday to expect job cuts ... 
Zuckerberg's cuts will be the first since Facebook's founding in 2004..."
6,02-Oct-22,META,"https://www.businessinsider.in/tech/news/sheryl-sandberg-is-getting-bodyguards-paid-for-by-meta-because-of-threats-to-her-safety-despite-leaving-the-company/articleshow/94599258.cms"" ","Sheryl Sandberg is getting bodyguards paid for by Meta because of 'threats 
to her safety' despite leaving the",Business Insider India,"The Facebook owner's board approved providing the security detail to its 
former chief operating officer on Friday because of ""continuing threats..."
7,15-Aug-22,META,"https://www.globalwitness.org/en/campaigns/digital-threats/facebook-fails-tackle-election-disinformation-ads-ahead-tense-brazilian-election/"" ",Facebook fails to tackle election disinformation ads ahead of ...,Global Witness,"All of the ads we submitted violate Meta's election ad policies. ... 
Brazilians take to the polls on Sunday 2 October 2022 to elect their..."
8,02-Oct-22,META,"https://www.digitalinformationworld.com/2022/10/apple-ceo-tim-cook-throws-shade-on.html"" ",Apple CEO Tim Cook Throws Shade On Facebook’s ...,Digital Information World,"Apple CEO Tim Cook Throws Shade On Facebook's Metaverse And Its Complex ... 
The battle between tech giants Apple and Meta has always been..."
9,02-Oct-22,META,"https://cointelegraph.com/news/terra-could-leave-a-similar-regulatory-legacy-to-that-of-facebook-s-libra"" ",Terra could leave a similar regulatory legacy to that of Facebook’s Libra,Cointelegraph,"A “Libra moment” for algorithmic stablecoins. The Terra stablecoin project 
somewhat recalls the fate of Facebook's (now Meta) stablecoin project..."
0,03-Oct-22,META,"https://www.thehindu.com/sci-tech/technology/russia-blocks-soundcloud-citing-spread-of-false-information-meta-instagram-facebook-twitter-interfax/article65965599.ece"" ","Russia blocks SoundCloud citing spread of ""false information,"" says Interfax",The Hindu,"... to control the flow of information after it sent troops to Ukraine, 
slowing Twitter's service and banning Meta's Facebook and Instagram."
1,21-Jul-22,META,"https://www.deccanherald.com/business/meta-vs-meta-firm-sues-facebooks-parent-company-for-stealing-its-name-1128762.html"" ",Meta vs Meta: Firm sues Facebook's parent company for stealing its name,Deccan Herald,"Facebook owner Meta Platforms Inc was hit with a trademark lawsuit in 
Manhattan federal court on Tuesday by MetaX LLC, a company that..."
2,30-Sep-22,META,"https://www.mediapost.com/publications/article/378298/facebook-settles-scraping-battle-with-analytics-co.html"" ",Facebook Settles Scraping Battle With Analytics Company 10 ...,MediaPost,"Analytics company BrandTotal and Meta Platforms agreed to resolve a 
two-year battle over BrandTotal's collection of data from Facebook and 
Instagram users,..."
3,03-Oct-22,META,"https://www.spokesman.com/stories/2022/oct/03/meta-probe-into-533-million-user-data-leak-draws-t/"" ",Meta probe into 533 million-user data leak draws to a close,The Spokesman-Review,"3, 2022 Updated Mon., Oct. 3, 2022 at 9:13 a.m.. The..."
4,03-Oct-22,META,"https://www.searchenginejournal.com/facebook-launching-new-in-app-browser-for-android/466775/"" ",Facebook Launching New In-App Browser For Android,Search Engine Journal,"An announcement on Meta's engineering blog states: “Our in-app browser for 
Facebook on Android has historically relied on an Android System..."
5,03-Oct-22,META,"https://finance.yahoo.com/news/meta-settles-lawsuit-significant-sum-192237073.html"" ","Meta settles lawsuit for 'significant' sum against businesses scraping 
Facebook and Instagram data",Yahoo Finance,"and Delaware-incorporated Unimania Inc., agreed to a permanent injunction 
banning them from scraping Facebook and Instagram data going forward..."
6,02-Oct-22,META,"https://seekingalpha.com/article/4544227-meta-its-only-a-meta-of-time"" ",Meta: It's Only A Meta Of Time (NASDAQ:META),Seeking Alpha,"A month after its WhatsApp acquisition, Facebook acquired Oculus — a leader 
in VR technology and headsets — for $2 billion. Zuckerberg believes..."
7,03-Oct-22,META,"https://nypost.com/2022/10/03/tim-cook-pans-zuckerbergs-metaverse-vision-as-apple-meta-feud-over-vr/"" ","Tim Cook pans Zuckerberg's metaverse vision as Apple, Meta feud over VR",New York Post,"FBI chief Wray: Can't 'be sure' if Facebook sending agents user info. “And 
I'm really not sure the average person can tell you what the..."
8,03-Oct-22,META,"https://www.indianretailer.com/news/now-everyone-can-share-nfts-on-instagram-or-facebook-says-meta.n14366"" ",Now Everyone can Share NFTs on Instagram or Facebook ...,Indian Retailer,"Meta has announced that everyone can now share digital collectibles or 
non-fungible tokens (NFTs) on Instagram and Facebook. The company started 
testing..."
9,01-Jun-22,META,"https://www.datacenterknowledge.com/meta-facebook/sheryl-sandberg-stepping-down-meta-s-coo-after-14-years"" ",Sheryl Sandberg Stepping Down as Meta's COO After 14 Years,Data Center Knowledge,"(Bloomberg) -- Meta Platforms Inc.'s Sheryl Sandberg, ... Sandberg joined 
Facebook in 2008 and was key to turning it into a social media..."
0,04-Oct-22,META,"https://ciosea.economictimes.indiatimes.com/news/next-gen-technologies/facebook-parent-meta-launches-ai-software-tools-to-help-speed-up-work/94631578"" ",Facebook parent Meta launches AI software tools to help speed up work,ETCIO SEA,"(Reuters) -Facebook parent Meta Platforms Inc said on Monday it has 
launched a new set of free software tools for artificial intelligence..."
1,04-Oct-22,META,"https://www.moneycontrol.com/news/technology/meta-pushes-reels-monetization-with-new-ad-formats-9278541.html"" ",Meta pushes Reels monetization with new ad formats,Moneycontrol,"In a blog post, the parent company of Facebook and Instagram said it was 
starting tests for a new skippable ""post-loop"" video ad format to..."
2,04-Oct-22,META,"https://www.adweek.com/social-marketing/meta-introduces-more-places-to-advertise/"" ","Meta Introduces More Places to Advertise, Brand Safety ...",Adweek,"October 4, 2022. Meta is making a slew of new spaces available for 
advertisers on both the Explore page of Instagram, within Facebook Reels 
and on creators..."
3,04-Oct-22,META,"https://www.pymnts.com/news/social-commerce/2022/meta-unveils-new-ad-formats-for-reels-instagram/"" ","Meta Unveils New Ad Formats for Reels, Instagram",PYMNTS.com,"Among the changes are new Facebook Reels ads and video ecosystem updates, 
the company said in a blog post on Tuesday (Oct. 4). “People aren't..."
4,1 month ago,META,"https://www.dicardiology.com/content/getting-heart-covid-19-vaccination-and-its-cardiovascular-risks"" ",Getting to the Heart of COVID-19 Vaccination and its ...,Diagnostic and Interventional Cardiology,"“By exploring the relationship between COVID-19 vaccine and 
myocarditis/pericarditis through systemic review and meta-analysis, we hope 
to..."
5,04-Oct-22,META,"https://www.nytimes.com/2022/10/04/business/media/facebook-ends-bulletin-newsletter.html"" ",Facebook Winds Down Its Newsletter Service,The New York Times,"Facebook, which is now part of the parent company Meta, has contacted 
writers within the program to tell them that the Bulletin platform..."
6,04-Oct-22,META,"https://www.moneycontrol.com/news/world/meta-is-closing-one-new-york-office-with-cutbacks-looming-9275601.html"" ",Meta is closing one New York office with cutbacks looming,Moneycontrol,"While many companies have reduced their office space, Meta Platforms Inc., 
formerly known as Facebook, is expanding in New York, with a goal of..."
7,04-Oct-22,META,"https://www.theregister.com/2022/10/04/metas_facebook_webview_chromium/"" ","Don't mind Facebook, just putting its own browser in its Android app",TheRegister,"Analysis Meta's Facebook has been testing its own custom-browser engine 
within its Android app and plans to distribute the code more widely,..."
8,28-Jul-22,META,"https://gizmodo.com/meta-facebook-news-1849344493"" ",Meta's Done With Paying News Publishers on Facebook,Gizmodo,"Several news publishers are going to be out millions of dollars as Meta is 
now saying, in a very subdued way, there's no place for dedicated..."
9,04-Oct-22,META,"https://inc42.com/buzz/security-concerns-prevented-meta-from-releasing-full-report-on-hate-speech-in-india-report/"" ","‘Security Concerns’ Prevented Meta From Releasing Full Report On 
Hate-Speech In India: Report",Inc42,"'Security Concerns' Prevented Meta From Releasing Full Report On 
Hate-Speech In India: Report. 04 Oct'22 | By Laxitha Mundhra. India Most 
Significant..."
0,1 month ago,META,"https://www.nature.com/articles/d41586-022-03539-1"" ",AlphaFold's new rival? Meta AI predicts shape of 600 million ...,Nature,"Researchers at Meta (formerly Facebook, headquartered in Menlo Park, 
California) have used AI to predict the structures of some 600 million..."
1,1 week ago,META,"https://www.analyticsinsight.net/google-layoffs-pichais-job-cut-offs-come-at-the-worst-time/"" ",Google Layoffs: Pichai's Job Cut-Offs Come at the Worst Time,Analytics Insight,"... big-tech companies including Facebook, Meta, Amazon, and Microsoft. ... 
As per a Live Mint report, dated October 5, 2022, IT sector will..."
2,3 weeks ago,META,"https://www.goodwinlaw.com/publications/2022/11/11_10-antitrust-competition-technology-quarterly"" ",Antitrust &amp; Competition Technology Quarterly Update Q3 2022,Goodwin Procter,"Two major technology companies, Meta and Microsoft, ... in the Pending 
Antitrust Case Against Facebook, Inc., at 2 (July 25, 2022)."
3,05-Oct-22,META,"https://www.moneycontrol.com/news/technology/facebook-winds-down-its-newsletter-service-9281841.html"" ",Facebook Winds Down Its Newsletter Service,Moneycontrol,"Facebook, which is now part of the parent company Meta, has contacted 
writers within the program to tell them that the Bulletin platform..."
4,05-Oct-22,META,"https://www.adweek.com/media/meta-adds-show-more-show-less-options-to-posts-on-facebook-feed/"" ","Meta Adds 'Show More,' 'Show Less' Options to Posts on ...",Adweek,"New tools in Feed Preferences give users more customization over what they 
see ... Meta rolled out new ways for Facebook users to customize how..."
5,05-Oct-22,META,"https://simplywall.st/stocks/us/media/nasdaq-meta/meta-platforms/news/meta-vs-google-the-better-advertising-platform-for-investors"" ",Meta vs. Google: The Better Advertising Platform for Investors,Simply Wall St,"Meta, formerly Facebook, has presented itself as a social media company and 
now a metaverse company. However, Meta at its core,..."
6,25-Jul-22,META,"https://about.fb.com/news/2022/07/music-revenue-sharing-for-video-creators-on-facebook/"" ","Music Revenue Sharing: A New Way For Creators to Earn Money Through 
Facebook Videos",Meta,"Update on October 5, 2022 at 10:30AM PT: ... Today, we're introducing Music 
Revenue Sharing on Facebook, making it easier for creators to..."
7,05-Oct-22,META,"https://www.bbc.com/pidgin/articles/cv2947rne5eo"" ","FG sues Meta: Why Nigeria goment dey sue owners of Facebook, Instagram and 
WhatsApp for N30B",BBC,"Di Advertising Regulatory Council of Nigeria (ARCON) na dem carry Meta on 
go court for Abuja on behalf of di Nigeria goment. According to di..."
8,05-Oct-22,META,"https://www.dw.com/en/iran-are-social-media-platforms-censoring-dissent/a-63347228"" ",Iran: Are social media platforms censoring dissent?,DW,"In a tweet, the Iranian-born British actress and activist Nazanin Boniadi 
asked why Facebook parent company Meta, which also runs Instagram,..."
9,10-May-22,META,"https://www.motogp.com/en/news/2022/05/10/dorna-partners-with-meta-to-launch-new-game-on-facebook/420003"" ",Dorna partners with Meta to launch new game on Facebook,MotoGP,"Follow the story · 40 million fans and counting! MotoGP™ hits a new 
milestone 10/05/202240 million fans and counting! MotoGP™ hits a new..."
0,3 weeks ago,META,"https://yourstory.com/the-decrypting-story/meta-mark-zuckerberg-metaverse-36-billion-vr-oculus"" ","$36 billion later, where is Mark Zuckerberg's metaverse?",YourStory,"It's been one year since Facebook rebranded to Meta. ... Ethereum-based 
virtual world Decentraland had 38 “active users” on October 6, 2022,..."
1,1 month ago,META,"https://www.globalwitness.org/en/campaigns/digital-threats/open-door-hate-meta-approves-ads-containing-far-right-hate-speech-norwegian/"" ",An open door to hate: Meta approves ads containing far-right ...,Global Witness,"Meta is failing to block Facebook ads containing extreme hate speech and 
... On October 6, 2022, our researchers submitted 12 adverts for..."
2,06-Oct-22,META,"https://seekingalpha.com/article/4545037-zuckerbergs-distance-from-reality-is-crushing-facebookmeta-shareholders"" ",Zuckerberg's Distance From Reality Is Crushing Meta Investors,Seeking Alpha,"Zuckerberg's Distance From Reality Is Crushing Facebook/Meta Shareholders. 
Oct. 06, 2022 11:32 AM ETMeta Platforms, Inc. (META)NFLX, SNAP99 Comments"
3,5 days ago,META,"https://www.lexology.com/pro/content/asia-pacific-key-compliance-updates-1-25-nov"" ",Asia-Pacific: key compliance updates (1 – 25 Nov),Lexology,"... data across Meta's companies, which include Facebook and Instagram. ... 
Economic Co-operation and Development (OECD) on 6 October 2022,..."
4,2 weeks ago,META,"https://yourstory.com/hindi/mark-zuckerberg-meta-facebook-loss-36-billion-vr-oculus"" ","30 लाख करोड़ खर्च हो चुके हैं, लेकिन कहाँ तक पहुँचा मेटावर्स?",YourStory,"'फेसबुक' (Facebook) को 'मेटा' (Meta) हुए एक साल ... के मुताबिक़, 6 अक्टूबर 
2022 की तारीख को..."
5,1 month ago,META,"https://www.newslaundry.com/2022/10/13/explained-whats-the-wire-vs-meta-fight-all-about"" ",Explained: What’s the Wire vs Meta fight all about?,Newslaundry,"This week, the Wire published a damning report about the content moderation 
policies of Meta, the social media behemoth that owns Facebook,..."
6,1 month ago,META,"https://thewire.in/media/the-wire-intends-to-review-its-reporting-on-meta"" ",The Wire Intends to Review Its Reporting on Meta,The Wire,"Starting from October 6, 2022, The Wire published four reports on Meta, 
plus a statement on October 17. Our first report disclosed the fact that..."
7,06-Oct-22,META,"https://www.businessinsider.in/tech/news/12000-facebook-employees-15-of-its-workforce-may-lose-jobs-amid-quiet-layoffs-report/articleshow/94676235.cms"" ","12,000 Facebook employees, 15% of its workforce, may lose jobs amid 'quiet 
layoffs': Report",Business Insider India,"Meta is reportedly conducting 'quiet layoffs' at Facebook that may lead to 
thousands of job cuts -- at least 12,000 or about 15 per cent of..."
