,Date,Ticker,Url,headline,source,snippet
0,3 weeks ago,MSFT,"https://www.tipranks.com/news/microsoft-hit-with-eu-antitrust-complaint-for-unfair-cloud-computing-practices"" ",Microsoft (NASDAQ:MSFT) Accused By EU Trade Group of ...,TipRanks,"Microsoft faces a new antitrust complaint filed by the European trade group 
... The average MSFT stock price target of $293.46 implies 28.2%..."
1,3 weeks ago,MSFT,"https://finance.yahoo.com/news/carparts-com-reports-record-third-210100831.html"" ",CarParts.com Reports Record Third Quarter 2022 Results,Yahoo Finance,"On October 1, 2022, the Company had a cash balance of $16.7 million, 
revolver debt of ... Webcast: www.carparts.com/investor/news-events."
2,1 day ago,MSFT,"https://thecyberwire.com/newsletters/daily-briefing/11/229"" ",Heliconia described. Risks to the telecom and healthcare ...,CyberWire,"Ukraine war latest news: Russian troops retreat from Kherson front ... the 
Microsoft Defender security app to a Spanish software company."
3,29-Sept-2022,MSFT,"https://seekingalpha.com/article/4543841-microsoft-improving-profitability-despite-competition"" ",Microsoft Stock: Profitability Despite Stiff Competition (MSFT),Seeking Alpha,"Its 6-month price performance is -22.15%. This decline is worse than IBM's 
-7.48%. EMA and Stochastic technical indicators are indicating MSFT..."
4,29-Aug-2022,MSFT,"https://blogs.microsoft.com/eupolicy/2022/08/29/making-european-cloud-providers-more-competitive/"" ",Making European Cloud Providers More Competitive - EU ...,The Official Microsoft Blog,"At Microsoft we recognize the importance of a competitive ... in Europe and 
around the world, which we will introduce on 1 October 2022."
5,3 weeks ago,MSFT,"https://finance.yahoo.com/news/health-care-insurance-solution-company-195100167.html"" ","Health Care Insurance Solution company Catalyst Solutions to Participate at 
Texas Covered Health Conference Monday, November 7th, 2022, through 
Wednesday, November 9th",Yahoo Finance,"Beginning Oct. 1, 2022, certain provisions of Texas House Bill 3459, ... 
multimedia:https://www.prnewswire.com/news-releases/health-care-..."
6,2 weeks ago,MSFT,"https://www.nasdaq.com/articles/tyson-foods-tsn-q4-earnings-lag-estimates-sales-increase"" ","Tyson Foods (TSN) Q4 Earnings Lag Estimates, Sales Increase",Nasdaq,"Shares of the company rallied nearly 2% in the pre-market trading session 
... In the 12 months ended Oct 1, 2022, cash provided by operating..."
7,01-Oct-2022,MSFT,"https://finance.yahoo.com/news/why-10-stocks-trended-week-142136200.html"" ",Why These 10 Stocks Trended This Week,Yahoo Finance,"Amid the decline in the market, many tech stocks such as Apple Inc. 
(NASDAQ:AAPL) and Microsoft Corporation (NASDAQ:MSFT) trended."
8,01-Oct-2022,MSFT,"https://www.hellenicshippingnews.com/stock-market-snapshot-for-1-10-2022/"" ",STOCK MARKET SNAPSHOT FOR 1/10/2022,Hellenic Shipping News Worldwide,"STOCK MARKET SNAPSHOT FOR 1/10/2022. in Stock Market Snapshot 01/10/2022 
... O), Microsoft Corp , Amazon.com and Nike weighed heaviest."
9,01-Oct-2022,MSFT,"https://www.fool.com/investing/2022/10/01/got-5000-3-bear-market-stocks-buy-now-hold-forever/"" ","Got $5,000? 3 Bear-Market Stocks to Buy Now and Hold Forever",The Motley Fool,"Microsoft shares are historically cheap right now, thanks to the bear 
market. Axon's dominance in law enforcement makes it an excellent long-..."
0,2 weeks ago,MSFT,"https://www.foxbusiness.com/live-news/stock-market-news-today-november-16-2022"" ","Latest Stock Market News Today: Target in trouble, FTX fallout ...",Fox Business,"STOCK MARKET NEWS: Target shares tumble, FTX fallout widens, retail sales 
... Microsoft is working with the company to build a “massive”..."
1,2 weeks ago,MSFT,"https://capital.com/woolworths-group-shareholder-who-owns-most-wow-stock"" ",Woolworths Shareholders: Who Owns The Most Shares of ...,Capital.com,"It helped push the WOW stock price up 4% over the past month to ... 
including household names such as Apple, Microsoft, and Samsung."
2,29-Sept-2022,MSFT,"https://seekingalpha.com/article/4543841-microsoft-improving-profitability-despite-competition"" ",Microsoft Stock: Profitability Despite Stiff Competition (MSFT),Seeking Alpha,"Its 6-month price performance is -22.15%. This decline is worse than IBM's 
-7.48%. EMA and Stochastic technical indicators are indicating MSFT..."
3,1 month ago,MSFT,"https://fortune.com/2022/10/26/recession-proof-microsoft-shares-plunging-because-people-not-buying-pcs/"" ","Recession-proof Microsoft shares are plunging because people aren’t buying 
PCs",Fortune,"Microsoft Surface equipment lies on the turf before an NFL football game 
between the Atlanta Falcons and the Cleveland Browns, Oct. 2, 2022, in..."
4,30-Sept-2022,MSFT,"https://seekingalpha.com/news/3887629-sony-met-with-eu-regulator-on-activisionmicrosoft-earlier-this-month-report"" ",Sony met with EU regulator on Activision/Microsoft earlier this ...,Seeking Alpha,"Own shares in both MSFT and ATVI but this deal should not go through. MSFT 
already bought the company that makes Elder Scrolls and Fallout,..."
